,id,Name,Popula____o,Domic__lios,Dom__Ocupados,Geocodigo_Setor,Munic__pios,Cor_Bairro,Latitude,Longitude
0,,Centro,24.469,10.359,9.877,330510905000012.0,São João de Meriti,#F0FFFF,-22.80052866889424,-43.36616711149319
1,,Vila Rosali,21.723 ,8.894 ,8.692,330510905000034.0,São João de Meriti,#000000,-22.792166470228103,-43.37601020926724
2,,Jardim Paraíso,7.975 ,3.030 ,2.948,330510905000358.0,São João de Meriti,#6495ED,-22.76290258821187,-43.34604884752305
3,,Agostinho Porto,11.958,4.958,4.708,330510910000169.0,São João de Meriti,#0000FF,-22.78805438321712,-43.38284829652476
4,,Jardim Meriti,25.824 ,10.718 ,10.131,330510910000233.0,São João de Meriti,#FFEBCD,-22.787034198733537,-43.36821370317261
5,,Vila Tiradentes,15.758 ,6.584 ,5.986,330510910000246.0,São João de Meriti,#FFE4C4,-22.79637719054853,-43.3846749900742
6,,São Mateus,16.318 ,6.486 ,6.01,330510915000023.0,São João de Meriti,#00FFFF,-22.8088305421358,-43.38661140785393
7,,Engenheiro Belford,11.398 ,4.651 ,4.376,330510915000074.0,São João de Meriti,#F5F5DC,-22.80570783301473,-43.37787219884128
8,,Éden,56.192 ,22.966 ,21.46,330510910000096.0,São João de Meriti,#DC143C,-22.791157387473813,-43.39759399327331
9,,Tomazinho,11.737 ,4.806 ,4.437,330510915000047.0,São João de Meriti,#D2691E,-22.80345110933239,-43.39123522889558
10,,Coelho da Rocha,37.289,15.131,14.25,,São João de Meriti,#FFF8DC,-22.776453133013725,-43.38503735480283
11,,Jardim Metrópole,21.157 ,8.322 ,8.127,330510905000281.0,São João de Meriti,#7FFF00,-22.764228537197766,-43.33618371969664
12,,Parque Araruama,30.575,11.824,11.622,330510905000110.0,São João de Meriti,#DEB887,-22.79382847120675,-43.33728550197496
13,,Venda Velha,27.648,10.773,10.547,330510905000094.0,São João de Meriti,#8A2BE2,-22.790387977050763,-43.35041721584011
14,,Jardim Sumaré,35.375 ,13.702 ,13.395,330510905000206.0,São João de Meriti,#FF7F50,-22.7786390593606,-43.3375968607592
15,,Vilar dos Teles,85.566 ,33.875 ,32.257,330510910000053.0,São João de Meriti,#A52A2A,-22.772499999317983,-43.361240085032975
