Index;Polo;Escola;Turma;Serie;Turno;Quantidade de Vagas;Alunos na turma;Vagas Disponiveis;endereco;bairro;gps;lat;lon;geometry;Tipo
0;2;CIEP 132 MUN SÃO JOÃO BOSCO;PRÉ I - A;PRÉ-ESCOLA I EDUCAÇÃO INFANTIL;MANHÃ;27;13;14;Rua Torres Homem. s/n°;Eden;-22.791066547301476, -43.40061190226758;-22.79106654730148;-43.40061190226758;POINT Z (-43.400612 -22.791067 0);Escola
1;2;CIEP 132 MUN SÃO JOÃO BOSCO;PRÉ I - B;PRÉ-ESCOLA I EDUCAÇÃO INFANTIL;TARDE;27;22;5;Rua Torres Homem. s/n°;Eden;-22.791066547301476, -43.40061190226758;-22.79106654730148;-43.40061190226758;POINT Z (-43.400612 -22.791067 0);Escola
2;2;CIEP 132 MUN SÃO JOÃO BOSCO;PRE II D;PRÉ-ESCOLA II EDUCAÇÃO INFANTIL;TARDE;27;15;12;Rua Torres Homem. s/n°;Eden;-22.791066547301476, -43.40061190226758;-22.79106654730148;-43.40061190226758;POINT Z (-43.400612 -22.791067 0);Escola
3;2;CIEP 132 MUN SÃO JOÃO BOSCO;PRÉ II C;PRÉ-ESCOLA II EDUCAÇÃO INFANTIL;TARDE;27;17;10;Rua Torres Homem. s/n°;Eden;-22.791066547301476, -43.40061190226758;-22.79106654730148;-43.40061190226758;POINT Z (-43.400612 -22.791067 0);Escola
4;2;CIEP 132 MUN SÃO JOÃO BOSCO;PRÉ II A;PRÉ-ESCOLA II EDUCAÇÃO INFANTIL;MANHÃ;27;17;10;Rua Torres Homem. s/n°;Eden;-22.791066547301476, -43.40061190226758;-22.79106654730148;-43.40061190226758;POINT Z (-43.400612 -22.791067 0);Escola
5;2;CIEP 132 MUN SÃO JOÃO BOSCO;PRÉ II B;PRÉ-ESCOLA II EDUCAÇÃO INFANTIL;MANHÃ;27;17;10;Rua Torres Homem. s/n°;Eden;-22.791066547301476, -43.40061190226758;-22.79106654730148;-43.40061190226758;POINT Z (-43.400612 -22.791067 0);Escola
6;2;CIEP 132 MUN SÃO JOÃO BOSCO;11A;1º ANO ENSINO FUNDAMENTAL;TARDE;30;28;2;Rua Torres Homem. s/n°;Eden;-22.791066547301476, -43.40061190226758;-22.79106654730148;-43.40061190226758;POINT Z (-43.400612 -22.791067 0);Escola
7;2;CIEP 132 MUN SÃO JOÃO BOSCO;11 B;1º ANO ENSINO FUNDAMENTAL;TARDE;30;29;1;Rua Torres Homem. s/n°;Eden;-22.791066547301476, -43.40061190226758;-22.79106654730148;-43.40061190226758;POINT Z (-43.400612 -22.791067 0);Escola
8;2;CIEP 132 MUN SÃO JOÃO BOSCO;21B;2º ANO ENSINO FUNDAMENTAL;TARDE;35;24;11;Rua Torres Homem. s/n°;Eden;-22.791066547301476, -43.40061190226758;-22.79106654730148;-43.40061190226758;POINT Z (-43.400612 -22.791067 0);Escola
9;2;CIEP 132 MUN SÃO JOÃO BOSCO;21A ;2º ANO ENSINO FUNDAMENTAL;TARDE;35;26;9;Rua Torres Homem. s/n°;Eden;-22.791066547301476, -43.40061190226758;-22.79106654730148;-43.40061190226758;POINT Z (-43.400612 -22.791067 0);Escola
