id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Popula____o,Domic__lios,Dom__Ocupados,Geocodigo_Setor,Munic__pios,Cor_Bairro
,Centro,População: 24.469<br>Domicílios: 10.359<br>Dom. Ocupados: 9.877<br>Geocodigo_Setor: 330510905000012<br>Municípios: São João de Meriti<br>Cor Bairro: #F0FFFF,,,,,-1,0,-1,,,"24.469","10.359","9.877","330510905000012",São João de Meriti,#F0FFFF
,Vila Rosali,População: 21.723 <br>Domicílios: 8.894 <br>Dom. Ocupados: 8.692<br>Geocodigo_Setor: 330510905000034<br>Municípios: São João de Meriti<br>Cor Bairro: #000000,,,,,-1,0,-1,,,21.723 ,8.894 ,"8.692","330510905000034",São João de Meriti,#000000
,Jardim Paraíso,População: 7.975 <br>Domicílios: 3.030 <br>Dom. Ocupados: 2.948<br>Geocodigo_Setor: 330510905000358<br>Municípios: São João de Meriti<br>Cor Bairro: #6495ED,,,,,-1,0,-1,,,7.975 ,3.030 ,"2.948","330510905000358",São João de Meriti,#6495ED
,Agostinho Porto,População: 11.958<br>Domicílios: 4.958<br>Dom. Ocupados: 4.708<br>Geocodigo_Setor: 330510910000169<br>Municípios: São João de Meriti<br>Cor Bairro: #0000FF,,,,,-1,0,-1,,,"11.958","4.958","4.708","330510910000169",São João de Meriti,#0000FF
,Jardim Meriti,População: 25.824 <br>Domicílios: 10.718 <br>Dom. Ocupados: 10.131<br>Geocodigo_Setor: 330510910000233<br>Municípios: São João de Meriti<br>Cor Bairro: #FFEBCD,,,,,-1,0,-1,,,"25.824 ","10.718 ","10.131","330510910000233",São João de Meriti,#FFEBCD
,Vila Tiradentes,População: 15.758 <br>Domicílios: 6.584 <br>Dom. Ocupados: 5.986<br>Geocodigo_Setor: 330510910000246<br>Municípios: São João de Meriti<br>Cor Bairro: #FFE4C4,,,,,-1,0,-1,,,"15.758 ","6.584 ","5.986","330510910000246",São João de Meriti,#FFE4C4
,São Mateus,População: 16.318 <br>Domicílios: 6.486 <br>Dom. Ocupados: 6.010<br>Geocodigo_Setor: 330510915000023<br>Municípios: São João de Meriti<br>Cor Bairro: #00FFFF,,,,,-1,0,-1,,,16.318 ,6.486 ,"6.010","330510915000023",São João de Meriti,#00FFFF
,Engenheiro Belford,População: 11.398 <br>Domicílios: 4.651 <br>Dom. Ocupados: 4.376<br>Geocodigo_Setor: 330510915000074<br>Municípios: São João de Meriti<br>Cor Bairro: #F5F5DC,,,,,-1,0,-1,,,11.398 ,4.651 ,"4.376","330510915000074",São João de Meriti,#F5F5DC
,Éden,População: 56.192 <br>Domicílios: 22.966 <br>Dom. Ocupados: 21.460<br>Geocodigo_Setor: 330510910000096<br>Municípios: São João de Meriti<br>Cor Bairro: #DC143C,,,,,-1,0,-1,,,56.192 ,22.966 ,"21.460","330510910000096",São João de Meriti,#DC143C
,Tomazinho,População: 11.737 <br>Domicílios: 4.806 <br>Dom. Ocupados: 4.437<br>Geocodigo_Setor: 330510915000047<br>Municípios: São João de Meriti<br>Cor Bairro: #D2691E,,,,,-1,0,-1,,,11.737 ,4.806 ,"4.437","330510915000047",São João de Meriti,#D2691E
,Coelho da Rocha,População: 37.289<br>Domicílios: 15.131<br>Dom. Ocupados: 14.250<br>Geocodigo_Setor: <br>Municípios: São João de Meriti<br>Cor Bairro: #FFF8DC,,,,,-1,0,-1,,,"37.289","15.131","14.250",,São João de Meriti,#FFF8DC
,Jardim Metrópole,População: 21.157 <br>Domicílios: 8.322 <br>Dom. Ocupados: 8.127<br>Geocodigo_Setor: 330510905000281<br>Municípios: São João de Meriti<br>Cor Bairro: #7FFF00,,,,,-1,0,-1,,,21.157 ,8.322 ,"8.127","330510905000281",São João de Meriti,#7FFF00
,Parque Araruama,População: 30.575<br>Domicílios: 11.824<br>Dom. Ocupados: 11.622<br>Geocodigo_Setor: 330510905000110<br>Municípios: São João de Meriti<br>Cor Bairro: #DEB887,,,,,-1,0,-1,,,"30.575","11.824","11.622","330510905000110",São João de Meriti,#DEB887
,Venda Velha,População: 27.648<br>Domicílios: 10.773<br>Dom. Ocupados: 10.547<br>Geocodigo_Setor: 330510905000094<br>Municípios: São João de Meriti<br>Cor Bairro: #8A2BE2,,,,,-1,0,-1,,,"27.648","10.773","10.547","330510905000094",São João de Meriti,#8A2BE2
,Jardim Sumaré,População: 35.375 <br>Domicílios: 13.702 <br>Dom. Ocupados: 13.395<br>Geocodigo_Setor: 330510905000206<br>Municípios: São João de Meriti<br>Cor Bairro: #FF7F50,,,,,-1,0,-1,,,35.375 ,13.702 ,"13.395","330510905000206",São João de Meriti,#FF7F50
,Vilar dos Teles,População: 85.566 <br>Domicílios: 33.875 <br>Dom. Ocupados: 32.257<br>Geocodigo_Setor: 330510910000053<br>Municípios: São João de Meriti<br>Cor Bairro: #A52A2A,,,,,-1,0,-1,,,85.566 ,33.875 ,"32.257","330510910000053",São João de Meriti,#A52A2A
