Sub Bairro;Bairro TRE;Bairro Mapa
Agostinho Porto;Agostinho Porto;Agostinho Porto
Barão do Rio Branco;Jardim Meriti;Jardim Meriti
Centro;Centro;Centro
Coelho da Rocha;Coelho da Rocha;Coelho da Rocha
Dick;Vilar dos Teles;Vilar dos Teles
Eden;Eden;Eden
Engenheiro Belford;Engenheiro Belford;Engenheiro Belford
Farrula;Coelho da Rocha;Coelho da Rocha
Fonte Carioca;Venda Velha;Venda Velha
Gato Preto;Eden;Eden
Grande Rio;Grande Rio;Eden
Indiara;Eden;Eden
Itapuã;Vila Rosali;Vila Rosali
Jardim Alegria;Jardim Metrópole;Jardim Metrópole
Jardim Botânico;Vilar dos Teles;Vilar dos Teles
Jardim Fátima;Jardim Paraíso;Jardim Paraíso
Jardim Íris;Jardim Íris;Vilar dos Teles
Jardim José Bonifácio;Vilar dos Teles;Vilar dos Teles
Jardim Jurema;Jardim Sumaré;Jardim Sumaré
Jardim Jurujuba;Jardim Sumaré;Jardim Sumaré
Jardim Limoeiro;Jardim Metrópole;Jardim Metrópole
Jardim Meriti;Jardim Meriti;Jardim Meriti
Jardim Metrópole;Jardim Metrópole;Jardim Metrópole
Jardim Nóia;Vilar dos Teles;Vilar dos Teles
Jardim Nova Califórnia;Jardim Metrópole;Jardim Metrópole
Jardim Olavo Bilac;Jardim Olavo Bilac;Jadim Sumaré
Jardim Paraíso;Jardim Paraíso;Jardim Paraíso
Jardim Santa Rosa;Jardim Santa Rosa;Vilar dos Teles
Jardim Santo Antônio;Vilar dos Teles;Vilar dos Teles
Jardim Sumaré;Jardim Sumaré;Jardim Sumaré
Lar Fluminense;Coelho da Rocha;Coelho da Rocha
Morro da Caixa D'água;Venda Velha;Venda Velha
Morro da Malvina;Vilar dos Teles;Vilar dos Teles
Morro do Conceito;Jardim Meriti;Jardim Meriti
Morro do Embaixador;Jardim Sumaré;Jardim Sumaré
Morro do Guarani;Jardim Sumaré;Jardim Sumaré
Morro do Pau Branco;Vilar dos Teles;Vilar dos Teles
Parque Alian;Parque Alian;Coelho da Rocha
Parque Analândia;Parque Analândia;Parque Araruama
Parque Araruama;Parque Araruama;Parque Araruama
Parque Barreira;Venda Velha;Venda Velha
Parque Barreto;Venda Velha;Venda Velha
Parque Cruz Alta;Vilar dos Teles;Vilar dos Teles
Parque Elisabeth;Venda Velha;Venda Velha
Parque José Bonifácio;Parque José Bonifácio;Jardim Meriti
Parque Juriti;Parque Araruama;Parque Araruama
Parque Mirim;Parque Mirim;Parque Araruama
Parque Novo Rio;Parque Novo Rio;Parque Araruama
Parque Regina;Jardim Sumaré;Jardim Sumaré
Parque Santana;Parque Araruama;Parque Araruama
Parque São Judas Tadeu;Eden;Eden
Parque São Nicolau;São Mateus;São Mateus
Parque São Roque;Parque Araruama;Parque Araruama
Parque Siqueira;Tomazinho;Tomazinho
Parque Teles de Menezes;Venda Velha;Venda Velha
Parque Tietê;Parque Araruama;Parque Araruama
Parque Vitória;Jardim Sumaré;Jardim Sumaré
Praça da Bandeira;Praça da Bandeira;Vilar dos Teles
São Mateus;São Mateus;São Mateus
Sítio dos gansos;Vilar dos Teles;Vilar dos Teles
Tomazinho;Tomazinho;Tomazinho
Trezentos;Jardim Sumaré;Jardim Sumaré
Trio de Ouro;Vilar dos Teles;Vilar dos Teles
Vale da Simpatia;Venda Velha;Venda Velha
Venda Velha;Venda Velha;Venda Velha
Vila Andorinhas;Jardim Sumaré;Jardim Sumaré
Vila Colúmbia;Vilar dos Teles;Vilar dos Teles
Vila Dias Lopes;Vilar dos Teles;Vilar dos Teles
Vila dos Guedes;Jardim Metrópole;Jardim Metrópole
Vila Fluminense;Jardim Metrópole;Jardim Metrópole
Vila Humaitá;São Mateus;São Mateus
Vila Jurandir;Eden;Eden
Vila Laís;Parque Araruama;Parque Araruama
Vila Mercúrio;Vilar dos Teles;Vilar dos Teles
Vila Nadir;Vilar dos Teles;Vilar dos Teles
Vila Norma;Vila Norma;Eden
Vila Nossa Senhora de Fátima;Jardim Metrópole;Jardim Metrópole
Vila Rosali;Vila Rosali;Vila Rosali
Vila Ruth;Vilar dos Teles;Vilar dos Teles
Vila Santa Rita;Venda Velha;Venda Velha
Vila São João;Vila São João;Vilar dos Teles
Vila São José;Vila São José;Jadim Sumaré
Vila Saudade;Jardim Sumaré;Jardim Sumaré
Vila Tiradentes;Vila Tiradentes;Vila Tiradentes
Vila União;Vila União;São Mateus
Vila Vênus;Vilar dos Teles;Vilar dos Teles
Vila Zulmira;Eden;Eden
Vilar dos Teles;Vilar dos Teles;Vilar dos Teles
Vilar Formoso;Venda Velha;Venda Velha
